state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Load-out),195.3389,-77.8111,101325.00,101.3250,321015.9842,321.0160,3455.1120,load_sec_in,197.6500,-75.5000,,,
2 (C-out),575.6144,302.4644,2411635.29,2411.6353,707427.5724,707.4276,3638.0180,,,,ac_sec_out,351.3033,78.1533
3 (E-in),334.4057,61.2557,2411635.29,2411.6353,456944.2679,456.9443,3074.4941,,,,ac_sec_in,291.1500,18.0000
4 (E-out / Load-in),173.1500,-100.0000,101325.00,101.3250,298652.8254,298.6528,3333.5852,load_sec_out,187.4099,-85.7401,,,
