pressure_ratio,COP,Q_cold_kW,T_expander_out_degC
2.0000,0.000000,0.0000,-19.4951
2.3898,0.000000,0.0000,-28.0342
2.7797,0.000000,0.0000,-34.9562
3.1695,0.000000,0.0000,-40.7355
3.5593,0.000000,0.0000,-45.6782
3.9492,0.000000,0.0000,-49.9647
4.3390,0.000000,0.0000,-53.7399
4.7288,0.000000,0.0000,-57.1028
5.1186,0.000000,0.0000,-60.1271
5.5085,0.000000,0.0000,-62.8688
5.8983,0.000000,0.0000,-65.3715
6.2881,0.000000,0.0000,-67.6698
6.6780,0.000000,0.0000,-69.7915
7.0678,0.000000,0.0000,-71.7593
7.4576,0.000000,0.0000,-73.5918
7.8475,0.000000,0.0000,-75.3048
8.2373,0.009828,0.4011,-76.6501
8.6271,0.019630,0.8327,-77.8875
9.0169,0.028152,1.2383,-79.0506
9.4068,0.035569,1.6193,-80.1429
9.7966,0.042084,1.9791,-81.1747
10.1864,0.047832,2.3197,-82.1516
10.5763,0.052924,2.6428,-83.0781
10.9661,0.057451,2.9499,-83.9586
11.3559,0.061489,3.2422,-84.7968
11.7458,0.065102,3.5208,-85.5960
12.1356,0.068343,3.7869,-86.3592
12.5254,0.071258,4.0414,-87.0889
12.9153,0.073884,4.2850,-87.7875
13.3051,0.076256,4.5185,-88.4573
13.6949,0.078401,4.7426,-89.1001
14.0847,0.080345,4.9580,-89.7177
14.4746,0.082108,5.1651,-90.3117
14.8644,0.083710,5.3644,-90.8836
15.2542,0.085166,5.5566,-91.4346
15.6441,0.086492,5.7419,-91.9661
16.0339,0.087699,5.9207,-92.4791
16.4237,0.088800,6.0935,-92.9747
16.8136,0.089803,6.2605,-93.4537
17.2034,0.090717,6.4221,-93.9172
17.5932,0.091552,6.5786,-94.3660
17.9831,0.092313,6.7301,-94.8006
18.3729,0.093006,6.8770,-95.2220
18.7627,0.093639,7.0195,-95.6307
19.1525,0.094215,7.1578,-96.0274
19.5424,0.094739,7.2920,-96.4125
19.9322,0.095215,7.4225,-96.7867
20.3220,0.095648,7.5493,-97.1504
20.7119,0.096040,7.6726,-97.5042
21.1017,0.096395,7.7926,-97.8484
21.4915,0.096716,7.9094,-98.1834
21.8814,0.097004,8.0232,-98.5096
22.2712,0.097263,8.1340,-98.8275
22.6610,0.097495,8.2420,-99.1373
23.0508,0.097701,8.3473,-99.4394
23.4407,0.097884,8.4500,-99.7340
23.8305,0.098044,8.5502,-100.0215
24.2203,0.098185,8.6481,-100.3022
24.6102,0.098306,8.7436,-100.5762
25.0000,0.098409,8.8369,-100.8438
