metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.561676,-
Q_cold,1016.4360,W
Q_aftercooler,19824.8594,W
W_compressor,43600.6264,W
W_expander,24790.3462,W
W_net,18810.2802,W
COP,0.054036,-
Q_recuperator,-1177.7307,W
T_load_sec_out,28.9999,degC
T_load_sec_in,30.0000,degC
energy_error,1.83e-03,-
mass_flow,0.3820,kg/s
