state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),299.8579,26.7079,101325.00,101.3250,426154.7511,426.1548,3886.2373,,,,,,
2 (C-out / Splitter-in),412.9868,139.8368,243180.00,243.1800,540287.8891,540.2879,3957.7771,,,,ac_sec_out,303.6131,30.4631
3 (AC-out / Recup.hot-in),295.9458,22.7958,243180.00,243.1800,421887.9260,421.8879,3620.7439,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),302.9190,29.7690,243180.00,243.1800,428921.1520,428.9212,3644.2335,,,,,,
4m (Mixer-out / E-in),364.8542,91.7042,243180.00,243.1800,491473.1826,491.4732,3832.1095,,,,,,
5 (E-out / Load-in),300.2774,27.1274,101325.00,101.3250,426576.9884,426.5770,3887.6444,load_sec_out,302.1499,28.9999,,,
6 (Load-out / Recup.cold-in),302.9213,29.7713,101325.00,101.3250,429237.8157,429.2378,3896.4669,load_sec_in,303.1500,30.0000,,,
