state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK
1 (C-in / Load-out),195.3389,-77.8111,101325.00,101.3250,321015.9842,321.0160,3455.1120
2 (C-out),575.5340,302.3840,2410542.95,2410.5429,707343.1012,707.3431,3638.0024
3 (E-in),334.3781,61.2281,2410542.95,2410.5429,456917.4966,456.9175,3074.5440
4 (E-out / Load-in),173.1500,-100.0000,101325.00,101.3250,298652.8254,298.6528,3333.5852
