state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),299.9775,26.8275,101325.00,101.3250,426275.0924,426.2751,3886.6385,,,,,,
2 (C-out / Splitter-in),413.1464,139.9964,243180.00,243.1800,540450.1043,540.4501,3958.1698,,,,ac_sec_out,302.8348,29.6848
3 (AC-out / Recup.hot-in),295.3925,22.2425,243180.00,243.1800,421329.8941,421.3299,3618.8566,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),303.1530,30.0030,243180.00,243.1800,429157.1835,429.1572,3645.0124,,,,,,
4m (Mixer-out / E-in),368.3300,95.1800,243180.00,243.1800,494990.7286,494.9907,3841.7048,,,,,,
5 (E-out / Load-in),303.1541,30.0041,101325.00,101.3250,429472.1605,429.4722,3897.2402,load_sec_out,303.1500,30.0000,,,
6 (Load-out / Recup.cold-in),303.1541,30.0041,101325.00,101.3250,429472.1605,429.4722,3897.2402,load_sec_in,303.1500,30.0000,,,
