state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK
1 (C-in),298.1500,25.0000,101325.00,101.3250,424436.0439,424.4360,3880.4892
2 (C-out),410.6634,137.5134,243180.00,243.1800,537925.6930,537.9257,3952.0411
3 (T-in),298.1500,25.0000,243180.00,243.1800,424111.0055,424.1110,3628.2279
4 (T-out),245.1726,-27.9774,101325.00,101.3250,371153.8487,371.1538,3683.7317
