pressure_ratio,COP,Q_cold_kW,T_turb_out_degC
2.0000,0.972729,16.5174,-17.9897
2.3898,0.882228,20.2667,-27.7505
2.7797,0.814868,23.3053,-35.6609
3.1695,0.762292,25.8431,-42.2667
3.5593,0.719813,28.0108,-47.9085
3.9492,0.684579,29.8951,-52.8121
4.3390,0.654748,31.5562,-57.1345
4.7288,0.629070,33.0376,-60.9884
5.1186,0.606663,34.3713,-64.4579
5.5085,0.586887,35.5819,-67.6067
5.8983,0.569264,36.6885,-70.4845
6.2881,0.553429,37.7061,-73.1305
6.6780,0.539098,38.6468,-75.5763
7.0678,0.526045,39.5206,-77.8478
7.4576,0.514091,40.3355,-79.9660
7.8475,0.503089,41.0984,-81.9487
8.2373,0.492917,41.8150,-83.8108
8.6271,0.483476,42.4901,-85.5650
9.0169,0.474682,43.1279,-87.2221
9.4068,0.466463,43.7320,-88.7914
9.7966,0.458758,44.3055,-90.2809
10.1864,0.451516,44.8511,-91.6979
10.5763,0.444692,45.3712,-93.0484
10.9661,0.438246,45.8678,-94.3379
11.3559,0.432145,46.3429,-95.5713
11.7458,0.426358,46.7981,-96.7528
12.1356,0.420859,47.2348,-97.8864
12.5254,0.415625,47.6544,-98.9754
12.9153,0.410635,48.0580,-100.0229
13.3051,0.405869,48.4468,-101.0318
13.6949,0.401313,48.8218,-102.0046
14.0847,0.396949,49.1837,-102.9436
14.4746,0.392766,49.5335,-103.8509
14.8644,0.388751,49.8718,-104.7284
15.2542,0.384892,50.1993,-105.5778
15.6441,0.381180,50.5167,-106.4008
16.0339,0.377605,50.8244,-107.1988
16.4237,0.374159,51.1231,-107.9733
16.8136,0.370835,51.4132,-108.7253
17.2034,0.367625,51.6952,-109.4563
17.5932,0.364523,51.9694,-110.1671
17.9831,0.361522,52.2363,-110.8588
18.3729,0.358618,52.4962,-111.5324
18.7627,0.355804,52.7495,-112.1886
19.1525,0.353077,52.9964,-112.8284
19.5424,0.350432,53.2373,-113.4524
19.9322,0.347865,53.4723,-114.0614
20.3220,0.345372,53.7019,-114.6560
20.7119,0.342949,53.9261,-115.2369
21.1017,0.340594,54.1453,-115.8045
21.4915,0.338302,54.3597,-116.3596
21.8814,0.336072,54.5694,-116.9026
22.2712,0.333900,54.7746,-117.4339
22.6610,0.331784,54.9755,-117.9541
23.0508,0.329721,55.1723,-118.4635
23.4407,0.327710,55.3651,-118.9626
23.8305,0.325748,55.5541,-119.4518
24.2203,0.323833,55.7394,-119.9314
24.6102,0.321963,55.9212,-120.4018
25.0000,0.320136,56.0995,-120.8632
