metric,value,unit
cycle,simple_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
Q_cold,20353.7986,W
W_compressor,43353.0459,W
W_turbine,20229.6339,W
W_net,23123.4120,W
COP,0.880225,-
energy_error,1.79e-16,-
mass_flow,0.3820,kg/s
