state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),284.8715,11.7215,101325.00,101.3250,411076.5488,411.0765,3834.6528,,,,,,
2 (C-out / Splitter-in),392.5665,119.4165,243180.00,243.1800,519548.7282,519.5487,3906.2760,,,,ac_sec_out,309.5998,36.4498
3 (AC-out / Recup.hot-in),302.6533,29.5033,243180.00,243.1800,428653.1672,428.6532,3643.3484,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),198.1911,-74.9589,243180.00,243.1800,323182.0027,323.1820,3215.8354,,,,,,
4m (Mixer-out / E-in),228.2375,-44.9125,243180.00,243.1800,353576.4601,353.5765,3358.6307,,,,,,
5 (E-out / Load-in),187.5303,-85.6197,101325.00,101.3250,313150.2919,313.1503,3414.0181,load_sec_out,193.1497,-80.0003,,,
6 (Load-out / Recup.cold-in),196.2483,-76.9017,101325.00,101.3250,321931.7632,321.9318,3459.7892,load_sec_in,197.1500,-76.0000,,,
