state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),298.3151,25.1651,101325.00,101.3250,424602.2345,424.6022,3881.0464,,,,,,
2 (C-out / Splitter-in),410.8741,137.7241,243180.00,243.1800,538139.8891,538.1399,3952.5626,,,,ac_sec_out,307.2037,34.0537
3 (AC-out / Recup.hot-in),298.9491,25.7991,243180.00,243.1800,424916.9319,424.9169,3630.9273,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),297.3973,24.2473,243180.00,243.1800,423351.8716,423.3519,3625.6785,,,,,,
4m (Mixer-out / E-in),343.9792,70.8292,243180.00,243.1800,470366.8072,470.3668,3772.5403,,,,,,
5 (E-out / Load-in),283.0134,9.8634,101325.00,101.3250,409207.5392,409.2075,3828.0704,load_sec_out,293.1506,20.0006,,,
6 (Load-out / Recup.cold-in),297.3977,24.2477,101325.00,101.3250,423679.0223,423.6790,3877.9469,load_sec_in,298.6500,25.5000,,,
