metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.409581,-
Q_cold,5528.1065,W
Q_aftercooler,25536.3332,W
W_compressor,43375.4971,W
W_expander,23362.8404,W
W_net,20012.6567,W
COP,0.276231,-
Q_recuperator,352.6671,W
T_load_sec_out,20.0006,degC
T_load_sec_in,25.5000,degC
energy_error,8.01e-04,-
mass_flow,0.3820,kg/s
