metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.212066,-
Q_cold,499.9916,W
hx_load_effectiveness,0.999644,-
Q_aftercooler,24957.4785,W
W_compressor,40359.0136,W
W_expander,15907.2972,W
W_net,24451.7165,W
COP,0.020448,-
Q_recuperator,31947.8808,W
T_load_sec_out,-79.9989,degC
T_load_sec_in,30.4913,degC
energy_error,1.15e-02,-
mass_flow,0.3820,kg/s
y_sec,0.995117,-
mdot_load_sec,0.004039,kg/s
T_chuck_sec_in,30.0000,degC
T_chuck_sec_out,30.0000,degC
T_load_sec_in,30.4913,degC
T_load_sec_out,-79.9989,degC
Q_chuck,0.00,W
Q_heater,500.00,W
