state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),277.5526,4.4026,101325.00,101.3250,403714.9112,403.7149,3808.4731,,,,,,
2 (C-out / Splitter-in),382.5402,109.3902,243180.00,243.1800,509382.5994,509.3826,3880.0431,,,,ac_sec_out,306.8398,33.6898
3 (AC-out / Recup.hot-in),300.4837,27.3337,243180.00,243.1800,426464.8244,426.4648,3636.0919,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),195.3687,-77.7813,243180.00,243.1800,320321.4968,320.3215,3201.2986,,,,,,
4m (Mixer-out / E-in),235.0084,-38.1416,243180.00,243.1800,360414.9761,360.4150,3388.1572,,,,,,
5 (E-out / Load-in),193.1117,-80.0383,101325.00,101.3250,318772.8369,318.7728,3443.5626,load_sec_out,193.1511,-79.9989,,,
6 (Load-out / Recup.cold-in),194.4112,-78.7388,101325.00,101.3250,320081.7154,320.0817,3450.3178,load_sec_in,303.6413,30.4913,,,
