state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK
1 (C-in),298.1500,25.0000,101325.00,101.3250,424436.0439,424.4360,3880.4892
2 (C-out),712.8149,439.6649,1307757.76,1307.7578,853717.5581,853.7176,4042.7201
3 (T-in),298.1500,25.0000,1307757.76,1307.7578,421701.1280,421.7011,3138.1871
4 (T-out),173.1500,-100.0000,101325.00,101.3250,298652.8183,298.6528,3333.5852
