Q_heater,T_sec_out_target_C,x_bypass,y_sec,mdot_load_sec,T_load_sec_in_C,T_load_sec_out_C,Q_cold,W_net,W_heater,W_total,COP_net,COP_total,energy_error,status
500,-120.0,0.12378914912539982,0.9962818394386529,0.0030749187842340564,30.491340291261622,-120.00242502544336,500.00284287756045,28383.298712646945,500,28883.298712646945,0.01761609346184877,0.01731114052629409,0.01890033179171376,ok
500,-116.28205128205127,0.13103874924374015,0.9962007271251108,0.003141998667533399,30.491340291261622,-116.28667803528242,500.009535787371,28006.882599333934,500,28506.882599333934,0.01785309500312835,0.017539958430917796,0.0204692377075794,ok
500,-112.56410256410257,0.13844721243401736,0.9961153069873709,0.003212641121444232,30.491340291261622,-112.57173015776388,500.01906174515045,27632.437157773013,500,28132.437157773013,0.018095365924119904,0.017773755574070297,0.0222000481558334,ok
500,-108.84615384615384,0.14607255984062278,0.996025235149522,0.003287130531345294,30.491340291261622,-108.83479458063826,499.96034910124644,27257.813518901246,500,27757.813518901246,0.018341909513562467,0.01801151768531071,0.024124867032883527,ok
500,-105.12820512820514,0.15382062279839023,0.9959301300134243,0.003365782478898069,30.491340291261622,-105.1258990681502,499.98845885593727,26888.259402756936,500,27388.259402756936,0.0185950474281973,0.018255576285567378,0.026238498134221407,ok
500,-101.41025641025641,0.16177550949601632,0.9958295669425087,0.00344894813854532,30.491340291261622,-101.41004402953052,499.99519966273806,26520.425467519584,500,27020.425467519584,0.0188532118489237,0.018504342215623762,0.028570522943913827,ok
500,-97.69230769230768,0.1699478285331679,0.9957230720203895,0.0035370194391379207,30.491340291261622,-97.69198709820728,499.99480294921545,26154.86119453663,500,26654.86119453663,0.01911670642143026,0.018758109423270903,0.030130616555922602,ok
500,-93.97435897435898,0.17832702022700558,0.9956101146908523,0.003630435150665185,30.491340291261622,-93.973882252734,499.99420846847784,25792.377836927615,500,26292.377836927615,0.01938534754839948,0.01901669797876693,0.03303336785009372,ok
500,-90.25641025641025,0.18693971381994307,0.9954900990380933,0.003729688095496867,30.491340291261622,-90.25333538254327,499.98456032099716,25432.85577930697,500,25932.85577930697,0.019659001909168278,0.019279965329539912,0.03627516030352123,ok
500,-86.53846153846155,0.19586447889026878,0.9953623534048424,0.003835333734195369,30.491340291261622,-86.53772469315052,499.9930907580652,25069.232437484025,500,25569.232437484025,0.019944491400162113,0.01955448181639917,0.009282439677703331,ok
