metric,value,unit
cycle,recuperated_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
Q_cold,10806.7520,W
W_compressor,43784.7668,W
W_expander,13702.8156,W
W_net,30081.9512,W
COP,0.359244,-
Q_recuperator,40893.2351,W
energy_error,5.53e-04,-
mass_flow,0.3820,kg/s
