Q_heater,T_sec_out_target_C,x_bypass,y_sec,mdot_load_sec,T_load_sec_in_C,T_load_sec_out_C,Q_cold,W_net,W_heater,W_total,COP_net,COP_total,energy_error,status
100.0,-120.0,0.1292737974613342,0.9992541737901827,0.0006167982755189361,30.09829623145663,-120.00181810124613,99.99694309886371,28239.029037048418,100.0,28339.029037048418,0.0035410899917157892,0.0035285945389355033,0.10607657668957729,ok
100.0,-112.36842105263159,0.14444779451188824,0.9992197348487379,0.0006452792800937242,30.09829623145663,-112.37461342237489,99.99967726255613,27466.50259678748,100.0,27566.50259678748,0.0036407866968200106,0.0036275794113327167,0.12587692733924385,ok
100.0,-104.73684210526315,0.16039938514945076,0.9991813162959597,0.0006770514232412927,30.09829623145663,-104.7317558280146,99.9925924429327,26701.263983168683,100.0,26801.263983168683,0.003744863632896319,0.003730890920134532,0.15048944721845794,ok
100.0,-97.10526315789474,0.17715724503990163,0.9991382036472709,0.0007127055837069607,30.09829623145663,-97.10498520421868,99.99570689423113,25948.222447190412,100.0,26048.222447190412,0.0038536630822300637,0.0038388687403511012,0.18119097364794082,ok
100.0,-89.4736842105263,0.19495706888370837,0.999089499960418,0.0007529835327343476,30.09829623145663,-89.47320701084419,99.9955440886658,25198.75190811221,100.0,25298.75190811221,0.003968273684875414,0.003952588034850904,0.055804927720813864,ok
100.0,-81.84210526315789,0.2137474432085853,0.999034063641769,0.0007988293682569919,30.09829623145663,-81.84133429202643,99.99528043273892,24471.656150392013,100.0,24571.656150392013,0.004086167271156967,0.0040695376746570505,0.07099595880798155,ok
100.0,-74.21052631578948,0.233710728831532,0.9989704189507486,0.0008514635277309391,30.09829623145663,-74.20953393894825,99.99503699018032,23763.069842945246,100.0,23863.069842945246,0.004208001645034374,0.00419036769570292,0.09132739329282873,ok
100.0,-66.57894736842104,0.25495034756450435,0.9988966241161873,0.0009124918559131088,30.09829623145663,-66.57765990122704,99.99468211025867,23077.004484780166,100.0,23177.004484780166,0.0043330876057248915,0.004314391973126768,0.11877485648545727,ok
100.0,-58.94736842105263,0.27754828904233114,0.998810071634763,0.0009840707580510105,30.09829623145663,-58.946228370762555,99.99471984952534,22418.515106511848,100.0,22518.515106511848,0.004460363203113311,0.004440555666150878,0.15576254069507683,ok
100.0,-51.31578947368422,0.301715835660756,0.998707176251816,0.001069165239748133,30.09829623145663,-51.30936904780728,99.98857320681418,21785.2492497802,100.0,21885.2492497802,0.0045897373980159075,0.00456876556742064,0.06709143759019205,ok
100.0,-43.68421052631578,0.3271684620158513,0.998582869302749,0.0011719670866265962,30.09829623145663,-43.68457692121328,99.99636508216493,21198.369583635136,100.0,21298.369583635136,0.004717172454591074,0.00469502440970873,0.09199130465373893,ok
100.0,-36.05263157894737,0.3539772939895072,0.9984297430389611,0.0012986025067791302,30.09829623145663,-36.04965722078819,99.99165955756665,20657.547388835766,100.0,20757.547388835766,0.004840441978683611,0.0048171230292527786,0.12883607388562301,ok
100.0,-28.42105263157896,0.38186686961405353,0.9982365254167377,0.0014583934803579339,30.09829623145663,-28.426062762177366,100.00403371803837,20171.601741194398,100.0,20271.601741194398,0.004957664492939615,0.004933208287868927,0.17677176118265045,ok
100.0,-20.78947368421052,0.4108171669943803,0.9979851824813349,0.0016662540879360025,30.09829623145663,-20.78943556871039,99.99582853118123,19738.653410658855,100.0,19838.653410658855,0.005065990392089441,0.00504045443313485,0.09899903775755994,ok
100.0,-13.157894736842081,0.4399686657830601,0.997644953437209,0.0019476235074281174,30.09829623145663,-13.15785666154045,99.99581538587019,19378.41052855921,100.0,19478.41052855921,0.005160166012506543,0.005133674292327729,0.13434720579922835,ok
100.0,-5.526315789473699,0.4690031603987508,0.9971587187996511,0.0023497395526885217,30.09829623145663,-5.52103157177703,99.98151002077115,19088.030467897304,100.0,19188.030467897304,0.005237916514693457,0.005210618681685234,0.17035883986787356,ok
100.0,2.10526315789474,0.4975491798981827,0.9964070703136525,0.0029713528506093833,30.09829623145663,2.110719381576075,99.97686337830133,18864.04317496222,100.0,18964.04317496222,0.005299864003226952,0.005271917093623708,0.09905832861488456,ok
100.0,9.736842105263122,0.5247930680069142,0.9950915801843894,0.004059263187509992,30.09829623145663,9.739515606969803,99.98299146812386,18713.60740424724,100.0,18813.60740424724,0.005342796250253264,0.005314397676096523,0.1028343853110784,ok
100.0,17.36842105263156,0.5504251577820084,0.9921981886962459,0.006452097948204661,30.09829623145663,17.368302058151585,99.99682515085829,18630.421672055927,100.0,18730.421672055927,0.005367394625364017,0.005338738598717422,0.1414264478239525,ok
100.0,25.0,0.5743080823939742,0.9806410997139616,0.01600981053655373,30.09829623145663,25.002806154964844,99.94109033988045,18606.455836628964,100.0,18706.455836628964,0.005371312581901537,0.005342598898086648,0.16469231230525433,ok
357.89473684210526,-120.0,0.12574483506866077,0.9973357730587894,0.002203315680381167,30.351734968934238,-120.0022358371287,357.8952235186122,28331.9342917132,357.89473684210526,28689.82902855531,0.01263221987717559,0.012474637724832557,0.02750618194633677,ok
357.89473684210526,-112.36842105263159,0.14084085145387096,0.9972129979589094,0.0023048506879819377,30.351734968934238,-112.3755410846259,357.9061543412632,27560.683290312885,357.89473684210526,27918.578027154992,0.012986113245859226,0.012819641243660258,0.03251551826270098,ok
357.89473684210526,-104.73684210526315,0.15669796572315745,0.9970760611944834,0.0024180973921621926,30.351734968934238,-104.73417891750142,357.8844564524515,26796.704454622828,357.89473684210526,27154.599191464935,0.013355539934341111,0.013179515334733407,0.038701872094336204,ok
357.89473684210526,-97.10526315789474,0.17335416066212755,0.996922425319326,0.002545154260917435,30.351734968934238,-97.10494015215082,357.88983991622234,26044.389156403733,357.89473684210526,26402.28389324584,0.013741533263344947,0.01355526064954467,0.0463497497386674,ok
357.89473684210526,-89.4736842105263,0.19103032415451088,0.9967489062698143,0.002688654514863597,30.351734968934238,-89.4731353115269,357.8891795164162,25296.30994363106,357.89473684210526,25654.204680473165,0.014147880869340915,0.013950507683788204,0.012545979866832244,ok
357.89473684210526,-81.84210526315789,0.20966964629387835,0.996551453452651,0.0028519479946576658,30.351734968934238,-81.8411948692654,357.8880293157804,24570.117933986177,357.89473684210526,24928.012670828284,0.01456598744366376,0.01435686165767216,0.01773649795144027,ok
357.89473684210526,-74.21052631578948,0.22946685362494337,0.9963248335292688,0.003039362671294689,30.351734968934238,-74.2093295662992,357.88692626208785,23861.946096529744,357.89473684210526,24219.84083337185,0.014998228761992532,0.01477660108190989,0.022639865135843158,ok
357.89473684210526,-66.57894736842104,0.25052202461527334,0.9960621648215805,0.003256589692552928,30.351734968934238,-66.5774510796104,357.88558978230077,23176.030809743937,357.89473684210526,23533.925546586044,0.015442057042478315,0.015207220277545985,0.029190089511919613,ok
357.89473684210526,-58.94736842105263,0.2729183897812049,0.9957542129768768,0.003511265868122862,30.351734968934238,-58.946704981976495,357.88819122016287,22517.26899155381,357.89473684210526,22875.163728395917,0.01589394306007563,0.01564527342708813,0.03792461249478274,ok
357.89473684210526,-51.31578947368422,0.29671753704607956,0.9953882917247063,0.003813882743667864,30.351734968934238,-51.31566460154775,357.8901337806768,21891.094047280265,357.89473684210526,22248.98878412237,0.01634866366238744,0.016085680893330276,0.048830207388904645,ok
357.89473684210526,-43.68421052631578,0.3220670445235708,0.9949464837776489,0.004179257915884328,30.351734968934238,-43.687122666522384,357.9038183366992,21296.05757796884,357.89473684210526,21653.952314810947,0.01680610681232179,0.01652833686587085,0.0213290207880777,ok
