state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),278.8251,5.6751,101325.00,101.3250,404994.8304,404.9948,3813.0740,,,,,,
2 (C-out / Splitter-in),384.2771,111.1271,243180.00,243.1800,511142.9549,511.1430,3884.6344,,,,ac_sec_out,307.2741,34.1241
3 (AC-out / Recup.hot-in),300.8086,27.6586,243180.00,243.1800,426792.4853,426.7925,3637.1817,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),196.6798,-76.4702,243180.00,243.1800,321650.4292,321.6504,3208.0781,,,,,,
4m (Mixer-out / E-in),234.9038,-38.2462,243180.00,243.1800,360309.2807,360.3093,3387.7074,,,,,,
5 (E-out / Load-in),193.0254,-80.1246,101325.00,101.3250,318685.9337,318.6859,3443.1125,load_sec_out,193.1514,-79.9986,,,
6 (Load-out / Recup.cold-in),195.6246,-77.5254,101325.00,101.3250,321303.6936,321.3037,3456.5838,load_sec_in,304.1323,30.9823,,,
