state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),298.4562,25.3062,101325.00,101.3250,424744.1775,424.7442,3881.5221,,,,,,
2 (C-out / Splitter-in),411.0194,137.8694,243180.00,243.1800,538287.6311,538.2876,3952.9221,,,,ac_sec_out,315.3778,42.2278
3 (AC-out / Recup.hot-in),307.5791,34.4291,243180.00,243.1800,433621.9386,433.6219,3659.6336,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),207.9123,-65.2377,243180.00,243.1800,333026.2993,333.0263,3264.3267,,,,,,
4m (Mixer-out / E-in),215.2380,-57.9120,243180.00,243.1800,340437.5185,340.4375,3299.3590,,,,,,
5 (E-out / Load-in),176.8138,-96.3362,101325.00,101.3250,302348.2630,302.3483,3354.7049,load_sec_out,193.1497,-80.0003,,,
6 (Load-out / Recup.cold-in),202.0574,-71.0926,101325.00,101.3250,327780.6896,327.7807,3489.1604,load_sec_in,204.6500,-68.5000,,,
