metric,value,unit
cycle,simple_brayton,-
pressure_ratio,24.425672,-
P_low,101325.00,Pa
P_high,2474931.20,Pa
Q_cold,9255.1383,W
W_compressor,150878.9281,W
W_expander,61052.7440,W
W_net,89826.1841,W
COP,0.103034,-
energy_error,1.56e-04,-
mass_flow,0.3820,kg/s
