state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK
1 (C-in / Load-out),197.1909,-75.9591,101325.00,101.3250,322880.9355,322.8809,3464.6142
2 (C-out),585.5117,312.3617,2474931.20,2474.9312,717855.7202,717.8557,3648.4762
3 (E-in),335.9863,62.8363,2474931.20,2474.9312,458476.7621,458.4768,3071.6317
4 (E-out / Load-in),173.1500,-100.0000,101325.00,101.3250,298652.8249,298.6528,3333.5852
