state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),299.2544,26.1044,101325.00,101.3250,425547.4400,425.5474,3884.2099,,,,,,
2 (C-out / Splitter-in),412.1313,138.9813,243180.00,243.1800,539418.0207,539.4180,3955.6686,,,,ac_sec_out,315.7622,42.6122
3 (AC-out / Recup.hot-in),307.9256,34.7756,243180.00,243.1800,433971.4548,433.9715,3660.7694,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),208.6597,-64.4903,243180.00,243.1800,333782.7385,333.7827,3267.9584,,,,,,
4m (Mixer-out / E-in),214.3645,-58.7855,243180.00,243.1800,339554.0815,339.5541,3295.2462,,,,,,
5 (E-out / Load-in),176.0937,-97.0563,101325.00,101.3250,301621.9872,301.6220,3350.5890,load_sec_out,193.1509,-79.9991,,,
6 (Load-out / Recup.cold-in),202.4448,-70.7052,101325.00,101.3250,328170.6115,328.1706,3491.0883,load_sec_in,205.1500,-68.0000,,,
