metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.456077,-
Q_cold,5107.2534,W
Q_aftercooler,24798.9054,W
W_compressor,43946.2346,W
W_expander,24248.5193,W
W_net,19697.7154,W
COP,0.259282,-
Q_recuperator,-1830.8271,W
T_load_sec_out,29.9995,degC
T_load_sec_in,35.0000,degC
energy_error,1.19e-03,-
mass_flow,0.3820,kg/s
