state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),304.6090,31.4590,101325.00,101.3250,430936.5999,430.9366,3902.0593,,,,,,
2 (C-out / Splitter-in),419.4095,146.2595,243180.00,243.1800,546821.2064,546.8212,3973.4750,,,,ac_sec_out,310.6781,37.5281
3 (AC-out / Recup.hot-in),301.7031,28.5531,243180.00,243.1800,427694.7061,427.6947,3640.1766,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),310.8498,37.6998,243180.00,243.1800,436921.4301,436.9214,3670.3043,,,,,,
4m (Mixer-out / E-in),345.4004,72.2504,243180.00,243.1800,471802.7713,471.8028,3776.7062,,,,,,
5 (E-out / Load-in),284.1881,11.0381,101325.00,101.3250,410389.1357,410.3891,3832.2369,load_sec_out,303.1500,30.0000,,,
6 (Load-out / Recup.cold-in),310.8648,37.7148,101325.00,101.3250,437234.1568,437.2342,3922.5241,load_sec_in,313.1500,40.0000,,,
