metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.317392,-
Q_cold,10254.7981,W
Q_aftercooler,31062.9672,W
W_compressor,44285.2049,W
W_expander,23460.0088,W
W_net,20825.1961,W
COP,0.492423,-
Q_recuperator,-2405.6667,W
T_load_sec_out,30.0000,degC
T_load_sec_in,40.0000,degC
energy_error,1.66e-03,-
mass_flow,0.3820,kg/s
