T_sec_out_target_K,T_sec_out_target_degC,x_bypass,COP,W_net_kW,T_expander_out_degC
303.1500,30.0000,0.344979,0.471741,21.7382,11.0381
303.4776,30.3276,0.354961,0.457823,21.6710,11.9803
303.8052,30.6552,0.364881,0.443811,21.6038,12.9230
304.1328,30.9828,0.374740,0.429703,21.5365,13.8660
304.4603,31.3103,0.384539,0.415500,21.4692,14.8096
304.7879,31.6379,0.394278,0.401200,21.4019,15.7536
305.1155,31.9655,0.403959,0.386801,21.3345,16.6981
305.4431,32.2931,0.413583,0.372303,21.2671,17.6430
305.7707,32.6207,0.423151,0.357705,21.1997,18.5884
306.0983,32.9483,0.432659,0.343011,21.1322,19.5339
306.4259,33.2759,0.442115,0.328211,21.0647,20.4801
306.7534,33.6034,0.451518,0.313308,20.9972,21.4268
307.0810,33.9310,0.460868,0.298301,20.9296,22.3740
307.4086,34.2586,0.470166,0.283188,20.8621,23.3216
307.7362,34.5862,0.479413,0.267969,20.7944,24.2697
308.0638,34.9138,0.488609,0.252643,20.7268,25.2183
308.3914,35.2414,0.497756,0.237208,20.6591,26.1672
308.7190,35.5690,0.506854,0.221663,20.5913,27.1167
309.0466,35.8966,0.515904,0.206008,20.5236,28.0665
309.3741,36.2241,0.524902,0.190252,20.4558,29.0161
309.7017,36.5517,0.533871,0.174349,20.3879,29.9681
310.0293,36.8793,0.542759,0.158363,20.3202,30.9168
310.3569,37.2069,0.551629,0.142268,20.2521,31.8676
310.6845,37.5345,0.560443,0.126056,20.1842,32.8187
311.0121,37.8621,0.569240,0.109679,20.1161,33.7729
311.3397,38.1897,0.577978,0.093212,20.0481,34.7259
311.6672,38.5172,0.586675,0.076625,19.9801,35.6793
311.9948,38.8448,0.595329,0.059918,19.9120,36.6330
312.3224,39.1724,0.603946,0.043084,19.8439,37.5873
312.6500,39.5000,0.612515,0.026141,19.7758,38.5412
