state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK
1 (C-in / Recup-out),310.8648,37.7148,101325.00,101.3250,437234.1574,437.2342,3922.5241
2 (C-out / Splitter-in),427.9708,154.8208,243180.00,243.1800,555538.3648,555.5384,3994.0500
3 (AC-out / Recup.hot-in),301.7103,28.5603,243180.00,243.1800,427701.9443,427.7019,3640.2006
4 (Recup.hot-out),301.7103,28.5603,243180.00,243.1800,427701.9443,427.7019,3640.2006
4m (Mixer-out / E-in),345.4004,72.2504,243180.00,243.1800,471802.7808,471.8028,3776.7063
5 (E-out / Load-in),284.1881,11.0381,101325.00,101.3250,410389.1435,410.3891,3832.2369
6 (Load-out / Recup.cold-in),310.8648,37.7148,101325.00,101.3250,437234.1574,437.2342,3922.5241
