state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),285.8781,12.7281,101325.00,101.3250,412089.1433,412.0891,3838.2011,,,,,,
2 (C-out / Splitter-in),393.9416,120.7916,243180.00,243.1800,520943.8136,520.9438,3909.8236,,,,ac_sec_out,309.9934,36.8434
3 (AC-out / Recup.hot-in),302.9713,29.8213,243180.00,243.1800,428973.8863,428.9739,3644.4076,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),198.7566,-74.3934,243180.00,243.1800,323755.0393,323.7550,3218.7227,,,,,,
4m (Mixer-out / E-in),227.3794,-45.7706,243180.00,243.1800,352709.5683,352.7096,3354.8254,,,,,,
5 (E-out / Load-in),186.8229,-86.3271,101325.00,101.3250,312437.5602,312.4376,3410.2102,load_sec_out,193.1497,-80.0003,,,
6 (Load-out / Recup.cold-in),196.6355,-76.5145,101325.00,101.3250,322321.7123,322.3217,3461.7743,load_sec_in,197.6500,-75.5000,,,
