metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.146837,-
Q_cold,3775.7461,W
W_compressor,41572.2498,W
W_expander,15383.9071,W
W_net,26188.3428,W
COP,0.144177,-
Q_recuperator,34291.1586,W
T_sec_out,193.1497,K
energy_error,2.56e-03,-
mass_flow,0.3820,kg/s
