state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),291.4895,18.3395,101325.00,101.3250,417734.2708,417.7343,3857.7564,,,,,,
2 (C-out / Splitter-in),401.6246,128.4746,243180.00,243.1800,528742.3013,528.7423,3929.4291,,,,ac_sec_out,307.1455,33.9955
3 (AC-out / Recup.hot-in),299.4325,26.2825,243180.00,243.1800,425404.5648,425.4046,3632.5572,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),277.0371,3.8871,243180.00,243.1800,402819.0256,402.8190,3554.1597,,,,,,
4m (Mixer-out / E-in),321.4108,48.2608,243180.00,243.1800,447578.0125,447.5780,3704.0169,,,,,,
5 (E-out / Load-in),264.3700,-8.7800,101325.00,101.3250,390457.7807,390.4578,3759.5372,load_sec_out,273.1500,0.0000,,,
6 (Load-out / Recup.cold-in),277.0174,3.8674,101325.00,101.3250,403176.6849,403.1767,3806.5321,load_sec_in,278.1500,5.0000,,,
