metric,value,unit
cycle,bypass_a_brayton,-
pressure_ratio,2.400000,-
P_low,101325.00,Pa
P_high,243180.00,Pa
x_bypass,0.355446,-
Q_cold,4858.6214,W
Q_aftercooler,25443.7595,W
W_compressor,42390.2328,W
W_expander,21819.9285,W
W_net,20570.3043,W
COP,0.236196,-
Q_recuperator,5560.9978,W
T_load_sec_out,273.1500,K
T_load_sec_in,278.1500,K
energy_error,3.05e-03,-
mass_flow,0.3820,kg/s
