state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK
1 (C-in),298.1500,25.0000,101325.00,101.3250,424436.0439,424.4360,3880.4892
2 (C-out),371.6774,98.5274,183744.72,183.7447,498461.3894,498.4614,3931.5480
3 (HX-out),298.1500,25.0000,183744.72,183.7447,424247.0783,424.2471,3709.0762
4 (T-in),198.1500,-75.0000,183744.72,183.7447,323436.6071,323.4366,3297.1515
5 (T-out),173.1500,-100.0000,101325.00,101.3250,298652.8135,298.6528,3333.5851
6 (rec-out),273.3251,0.1751,101325.00,101.3250,399463.2957,399.4633,3793.0370
