pressure_ratio,COP,Q_cold_kW,T_turb_out_degC
2.0000,0.452016,13.6491,-111.8921
2.3898,0.374272,15.4133,-130.2657
2.7797,0.323921,16.6225,-143.2992
3.1695,0.288204,17.4954,-153.1491
3.5593,0.261268,18.1456,-160.9354
3.9492,0.240038,18.6389,-167.3013
4.3390,0.222737,19.0156,-172.6444
