state,T_K,T_degC,P_Pa,P_kPa,h_J_kg,h_kJ_kg,s_J_kgK,load_sec,load_T_K,load_T_degC,ac_sec,ac_T_K,ac_T_degC
1 (C-in / Recup-out),299.8033,26.6533,101325.00,101.3250,426099.7838,426.0998,3886.0540,,,,,,
2 (C-out / Splitter-in),412.9116,139.7616,243180.00,243.1800,540211.3486,540.2113,3957.5917,,,,ac_sec_out,305.1805,32.0305
3 (AC-out / Recup.hot-in),297.1394,23.9894,243180.00,243.1800,423091.7712,423.0918,3624.8035,,,,ac_sec_in,291.1500,18.0000
4 (Recup.hot-out),302.4648,29.3148,243180.00,243.1800,428462.9819,428.4630,3642.7199,,,,,,
4m (Mixer-out / E-in),357.9280,84.7780,243180.00,243.1800,484466.7067,484.4667,3812.7214,,,,,,
5 (E-out / Load-in),294.5470,21.3970,101325.00,101.3250,420810.5629,420.8106,3868.2552,load_sec_out,300.1500,27.0000,,,
6 (Load-out / Recup.cold-in),302.4660,29.3160,101325.00,101.3250,428779.6384,428.7796,3894.9532,load_sec_in,303.1500,30.0000,,,
